rank,tier,tic,ra,dec,tmag,teff,logg,rad,rad_err,mass,rho,lumclass,contratio,gaia_dr2,n_sectors,sectors,pred_cdpp_1h_ppm,pred_rmin_p1_rearth,pred_rmin_p5_rearth,pred_rmin_p10_rearth,reason
2578,1,345943596,193.43949984399,-13.3734173475849,13.1224,3377.0,4.98494,0.251015,0.00756729,0.22196,14.0338,DWARF,0.00315413182,3526067377199558784,3,10 37 46,2209,1.52,2.0,2.26,"late M dwarf, R 0.25 R_sun, Teff 3377 K, Tmag 13.12; 3 TGLC sectors (S10-S46); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2579,1,142319480,194.131851653711,65.1791554871929,13.1359,3317.0,4.90414,0.320105,0.00952597,0.299677,9.13642,DWARF,8.691208e-05,1677280459614884480,7,14 15 21 22 41 48 49,2225,1.52,2.0,2.26,"M dwarf, R 0.32 R_sun, Teff 3317 K, Tmag 13.14; 7 TGLC sectors (S14-S49); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2580,1,369523085,107.920067559692,-39.4381580605432,13.1474,3313.0,4.98723,0.249312,0.00750057,0.220116,14.2044,DWARF,0.07483101,5564857050891836672,3,7 33 34,2238,1.52,2.0,2.26,"late M dwarf, R 0.25 R_sun, Teff 3313 K, Tmag 13.15; 3 TGLC sectors (S7-S34); contamination 0.07 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2581,1,4374280,116.252885865847,31.2126167432563,13.1655,3289.0,4.93986,0.287442,0.00860246,0.262356,11.0469,DWARF,0.00180187752,880072407070744576,5,20 44 45 46 47,2260,1.52,2.0,2.26,"late M dwarf, R 0.29 R_sun, Teff 3289 K, Tmag 13.17; 5 TGLC sectors (S20-S47); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2582,1,113671621,24.9917835237138,23.1094119977349,13.1748,3405.0,4.99158,0.246118,0.00747693,0.216671,14.5335,DWARF,0.00796039,290800660675877760,3,17 42 43,2271,1.51,2.0,2.25,"late M dwarf, R 0.25 R_sun, Teff 3405 K, Tmag 13.17; 3 TGLC sectors (S17-S43); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2583,1,406809897,248.146216061388,40.4009859988803,13.2049,3380.0,4.96582,0.265794,0.00801781,0.238143,12.6824,DWARF,0.00871318,1332753851171491072,4,24 25 51 52,2308,1.52,2.0,2.25,"late M dwarf, R 0.27 R_sun, Teff 3380 K, Tmag 13.20; 4 TGLC sectors (S24-S52); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2584,1,239209134,170.298222767205,17.3951726679498,13.2557,3339.0,4.97127,0.261475,0.00779627,0.233381,13.0549,DWARF,0.00012597043,3970937375299497344,4,22 45 46 49,2373,1.52,2.0,2.25,"late M dwarf, R 0.26 R_sun, Teff 3339 K, Tmag 13.26; 4 TGLC sectors (S22-S49); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2585,1,152110603,169.653926009597,-40.6117958123773,13.2942,3263.0,5.00331,0.237751,0.00711521,0.207725,15.4569,DWARF,0.08293246,5395465567961841536,3,10 36 37,2425,1.52,2.0,2.25,"late M dwarf, R 0.24 R_sun, Teff 3263 K, Tmag 13.29; 3 TGLC sectors (S10-S37); contamination 0.08 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2586,1,152591743,64.9890663741748,-46.1345917414857,13.3043,3237.0,4.97718,0.256898,0.00778434,0.228365,13.4694,DWARF,2.42581555e-05,4837455548483876352,4,4 5 31 32,2439,1.51,2.0,2.25,"late M dwarf, R 0.26 R_sun, Teff 3237 K, Tmag 13.30; 4 TGLC sectors (S4-S32); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2587,1,378992396,15.2703519896797,71.6887719122784,13.4199,3437.0,4.96765,0.264333,0.00800577,0.236529,12.8065,DWARF,0.0444145,533632785837953664,5,18 19 24 25 52,2607,1.52,2.0,2.25,"late M dwarf, R 0.26 R_sun, Teff 3437 K, Tmag 13.42; 5 TGLC sectors (S18-S52); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
